,Dates,Volume,month
0,2002-10-15,710.7251818084294,Oct
1,2003-05-15,828.9401473812335,May
2,2003-06-15,977.7202718272263,Jun
3,2003-07-15,1113.5446381257389,Jul
4,2003-08-15,1168.1334238705929,Aug
5,2003-09-15,851.4034808927944,Sep
6,2003-10-15,,Oct
7,2004-05-15,,May
8,2004-06-15,,Jun
9,2004-07-15,,Jul
10,2004-08-15,,Aug
11,2004-09-15,,Sep
12,2004-10-15,,Oct
13,2005-05-15,,May
14,2005-06-15,,Jun
15,2005-07-15,,Jul
16,2005-08-15,,Aug
17,2005-09-15,,Sep
18,2005-10-15,,Oct
19,2006-05-15,,May
20,2006-06-15,,Jun
21,2006-07-15,,Jul
22,2006-08-15,,Aug
23,2006-09-15,,Sep
24,2006-10-15,,Oct
25,2007-05-15,,May
26,2007-06-15,,Jun
27,2007-07-15,,Jul
28,2007-08-15,,Aug
29,2007-09-15,,Sep
30,2007-10-15,,Oct
31,2008-05-15,,May
32,2008-06-15,,Jun
33,2008-07-15,,Jul
34,2008-08-15,,Aug
35,2008-09-15,,Sep
36,2008-10-15,,Oct
37,2009-05-15,,May
38,2009-06-15,,Jun
39,2009-07-15,,Jul
40,2009-08-15,,Aug
41,2009-09-15,,Sep
42,2009-10-15,,Oct
43,2010-05-15,,May
44,2010-06-15,,Jun
45,2010-07-15,,Jul
46,2010-08-15,,Aug
47,2010-09-15,,Sep
48,2010-10-15,,Oct
49,2011-05-15,,May
50,2011-05-15,,May
51,2011-06-15,,Jun
52,2011-06-15,,Jun
53,2011-07-15,,Jul
54,2011-07-15,,Jul
55,2011-08-15,,Aug
56,2011-08-15,,Aug
57,2011-09-15,,Sep
58,2011-09-15,,Sep
59,2011-10-15,,Oct
60,2012-05-15,,May
61,2012-06-15,,Jun
62,2012-07-15,,Jul
63,2012-08-15,,Aug
64,2012-09-15,,Sep
65,2012-10-15,,Oct
66,2013-05-15,,May
67,2013-06-15,,Jun
68,2013-07-15,,Jul
69,2013-08-15,,Aug
70,2013-09-15,,Sep
71,2013-10-15,,Oct
72,2014-05-15,,May
73,2014-06-15,,Jun
74,2014-07-15,,Jul
75,2014-08-15,,Aug
76,2014-09-15,,Sep
77,2014-10-15,,Oct
78,2015-05-15,,May
79,2015-06-15,,Jun
80,2015-07-15,,Jul
81,2015-08-15,,Aug
82,2015-09-15,,Sep
83,2015-10-15,,Oct
84,2016-05-15,,May
85,2016-06-15,,Jun
86,2016-07-15,,Jul
87,2016-08-15,,Aug
88,2016-09-15,,Sep
89,2016-10-15,,Oct
90,2017-05-15,,May
91,2017-06-15,,Jun
92,2017-07-15,,Jul
93,2017-08-15,,Aug
94,2017-09-15,,Sep
95,2017-10-15,,Oct
96,2018-05-15,,May
97,2018-06-15,,Jun
98,2018-07-15,,Jul
99,2018-08-15,,Aug
100,2018-09-15,,Sep
101,2018-10-15,,Oct
