,Dates,Volume,month
0,2002-10-15,619.7171964283483,Oct
1,2003-05-15,699.912009122519,May
2,2003-06-15,723.8882254627093,Jun
3,2003-07-15,751.4199206756081,Jul
4,2003-08-15,722.9877922930409,Aug
5,2003-09-15,508.2627009299506,Sep
6,2003-10-15,,Oct
7,2004-05-15,,May
8,2004-06-15,,Jun
9,2004-07-15,,Jul
10,2004-08-15,,Aug
11,2004-09-15,,Sep
12,2004-10-15,,Oct
13,2005-05-15,,May
14,2005-06-15,,Jun
15,2005-07-15,,Jul
16,2005-08-15,,Aug
17,2005-09-15,,Sep
18,2005-10-15,,Oct
19,2006-05-15,,May
20,2006-06-15,,Jun
21,2006-07-15,,Jul
22,2006-08-15,,Aug
23,2006-09-15,,Sep
24,2006-10-15,,Oct
25,2007-05-15,,May
26,2007-06-15,,Jun
27,2007-07-15,,Jul
28,2007-08-15,,Aug
29,2007-09-15,,Sep
30,2007-10-15,,Oct
31,2008-05-15,,May
32,2008-06-15,,Jun
33,2008-07-15,,Jul
34,2008-08-15,,Aug
35,2008-09-15,,Sep
36,2008-10-15,,Oct
37,2009-05-15,,May
38,2009-06-15,,Jun
39,2009-07-15,,Jul
40,2009-08-15,,Aug
41,2009-09-15,,Sep
42,2009-10-15,,Oct
43,2010-05-15,,May
44,2010-06-15,,Jun
45,2010-07-15,,Jul
46,2010-08-15,,Aug
47,2010-09-15,,Sep
48,2010-10-15,,Oct
49,2011-05-15,,May
50,2011-06-15,,Jun
51,2011-07-15,,Jul
52,2011-08-15,,Aug
53,2011-09-15,,Sep
54,2011-10-15,,Oct
55,2012-05-15,,May
56,2012-06-15,,Jun
57,2012-07-15,,Jul
58,2012-08-15,,Aug
59,2012-09-15,,Sep
60,2012-10-15,,Oct
61,2013-05-15,,May
62,2013-06-15,,Jun
63,2013-07-15,,Jul
64,2013-08-15,,Aug
65,2013-09-15,,Sep
66,2013-10-15,,Oct
67,2014-05-15,,May
68,2014-06-15,,Jun
69,2014-07-15,,Jul
70,2014-08-15,,Aug
71,2014-09-15,,Sep
72,2014-10-15,,Oct
73,2015-05-15,,May
74,2015-06-15,,Jun
75,2015-07-15,,Jul
76,2015-08-15,,Aug
77,2015-09-15,,Sep
78,2015-10-15,,Oct
79,2016-05-15,,May
80,2016-06-15,,Jun
81,2016-07-15,,Jul
82,2016-08-15,,Aug
83,2016-09-15,,Sep
84,2016-10-15,,Oct
85,2017-05-15,,May
86,2017-06-15,,Jun
87,2017-07-15,,Jul
88,2017-08-15,,Aug
89,2017-09-15,,Sep
90,2017-10-15,,Oct
91,2018-05-15,,May
92,2018-06-15,,Jun
93,2018-07-15,,Jul
94,2018-08-15,,Aug
95,2018-09-15,,Sep
96,2018-10-15,,Oct
