Years,Weddell Sea,Ross-Amundsen,KHVII,ABS,East Antarctica
2002,950.8378621,923.7532077,348.7576532,1113.717836,484.391924
2003,1132.570146,802.799885,552.8091545,850.7614172,577.3459801
2004,1253.927112,937.3327863,488.1797399,904.7576467,622.5912141
2005,1115.133386,788.3294563,468.600697,1292.479048,564.9816428
2006,948.0246262,810.8412206,518.1022122,1075.848082,557.6358591
2007,998.2329534,907.5473897,537.0946837,887.2121337,618.965159
2008,1248.141268,824.9816575,616.3500721,788.4415268,657.0468758
2009,1284.931094,899.5477863,598.0793951,732.995289,707.7699403
2010,1235.501981,723.7485679,571.7452702,713.6211748,579.0941325
2011,1279.029036,892.0355751,580.0872221,1068.199508,587.7439927
2012,1407.500465,871.9450739,641.5055634,814.367183,654.0313547
2013,1763.260928,996.9618998,747.0850525,992.8108681,997.7040131
2014,1774.851179,1103.62236,792.5117768,950.9492719,814.2228828
2015,1673.3466,1126.954019,699.8128032,1009.1462,798.6026316
2016,1303.12985,919.5970211,605.0815909,1401.008809,804.5053526
2017,1415.946867,857.1944153,589.8498427,964.0432057,678.4858213
2018,1435.760406,853.3893385,607.1880096,1141.48448,652.5849593
